Complex,Year,var,value
SGSouth,1989,bottS,3.65145778656006
SPEast,1989,bottS,3.03574323654175
SPEnglishBay,1989,bottS,3.05151748657227
SPReefPoint,1989,bottS,3.32269692420959
SGNorth,1990,bottS,3.12474393844605
SGSouth,1990,bottS,3.67915272712708
SPEast,1990,bottS,1.34183371067047
SPEnglishBay,1990,bottS,1.49466943740845
SPReefPoint,1990,bottS,2.45716238021851
SGNorth,1991,bottS,3.1094434261322
SGSouth,1991,bottS,3.48710942268372
SPEast,1991,bottS,1.74673867225647
SPEnglishBay,1991,bottS,1.72520005702972
SPReefPoint,1991,bottS,2.59219813346863
SGNorth,1992,bottS,1.93080615997314
SGSouth,1992,bottS,2.23358392715454
SPEast,1992,bottS,0.661213994026184
SPEnglishBay,1992,bottS,1.28122913837433
SPReefPoint,1992,bottS,1.71527433395386
SGNorth,1993,bottS,3.41471791267395
SGSouth,1993,bottS,3.93544769287109
SPEast,1993,bottS,2.40717673301697
SPEnglishBay,1993,bottS,2.57944059371948
SPReefPoint,1993,bottS,3.13964986801147
SGNorth,1994,bottS,2.69108724594116
SGSouth,1994,bottS,3.42440414428711
SPEast,1994,bottS,0.220535680651665
SPEnglishBay,1994,bottS,0.576910734176636
SPReefPoint,1994,bottS,1.65699124336243
SGNorth,1995,bottS,1.91371655464172
SGSouth,1995,bottS,2.70324969291687
SPEast,1995,bottS,0.474935293197632
SPEnglishBay,1995,bottS,1.12606620788574
SPReefPoint,1995,bottS,1.60097992420197
SGNorth,1996,bottS,3.5202956199646
SGSouth,1996,bottS,4.20211791992188
SPEast,1996,bottS,2.44644927978516
SPEnglishBay,1996,bottS,2.96708416938782
SPReefPoint,1996,bottS,3.37320876121521
SGNorth,1997,bottS,2.88225507736206
SGSouth,1997,bottS,3.94947147369385
SPEast,1997,bottS,1.69717657566071
SPEnglishBay,1997,bottS,2.51741886138916
SPReefPoint,1997,bottS,2.85562467575073
SGNorth,1998,bottS,3.66388034820557
SGSouth,1998,bottS,3.8638174533844
SPEast,1998,bottS,2.63929915428162
SPEnglishBay,1998,bottS,2.48607587814331
SPReefPoint,1998,bottS,3.13289403915405
SGNorth,1999,bottS,2.25139403343201
SGSouth,1999,bottS,3.00377440452576
SPEast,1999,bottS,0.475174337625504
SPEnglishBay,1999,bottS,1.00008487701416
SPReefPoint,1999,bottS,1.8249260187149
SGNorth,2000,bottS,2.86184668540955
SGSouth,2000,bottS,3.45661163330078
SPEast,2000,bottS,2.08499670028687
SPEnglishBay,2000,bottS,2.44743967056274
SPReefPoint,2000,bottS,2.79041647911072
SGNorth,2001,bottS,3.47900295257568
SGSouth,2001,bottS,3.86377167701721
SPEast,2001,bottS,1.99713683128357
SPEnglishBay,2001,bottS,2.50954627990723
SPReefPoint,2001,bottS,3.08822894096375
SGNorth,2002,bottS,3.5438768863678
SGSouth,2002,bottS,3.74189877510071
SPEast,2002,bottS,2.74862957000732
SPEnglishBay,2002,bottS,2.80071306228638
SPReefPoint,2002,bottS,3.25091934204102
SGNorth,2003,bottS,4.08569240570068
SGSouth,2003,bottS,4.62695169448853
SPEast,2003,bottS,3.35362815856934
SPEnglishBay,2003,bottS,3.76399803161621
SPReefPoint,2003,bottS,4.08238697052002
SGNorth,2004,bottS,3.71868944168091
SGSouth,2004,bottS,4.18255996704102
SPEast,2004,bottS,2.60907435417175
SPEnglishBay,2004,bottS,2.82617974281311
SPReefPoint,2004,bottS,3.46447372436523
SGNorth,2005,bottS,3.97755932807922
SGSouth,2005,bottS,4.38945722579956
SPEast,2005,bottS,2.7891891002655
SPEnglishBay,2005,bottS,3.21721720695496
SPReefPoint,2005,bottS,3.76195979118347
SGNorth,2006,bottS,2.98522710800171
SGSouth,2006,bottS,3.82556915283203
SPEast,2006,bottS,0.710048139095306
SPEnglishBay,2006,bottS,1.42040252685547
SPReefPoint,2006,bottS,2.33496427536011
SGNorth,2007,bottS,2.42153167724609
SGSouth,2007,bottS,3.32487869262695
SPEast,2007,bottS,0.473944336175919
SPEnglishBay,2007,bottS,1.06449711322784
SPReefPoint,2007,bottS,1.77010810375214
SGNorth,2008,bottS,2.13021159172058
SGSouth,2008,bottS,3.08394837379456
SPEast,2008,bottS,0.438179820775986
SPEnglishBay,2008,bottS,1.08829247951508
SPReefPoint,2008,bottS,1.68890237808228
SGNorth,2009,bottS,1.72350239753723
SGSouth,2009,bottS,3.06096196174622
SPEast,2009,bottS,0.121847428381443
SPEnglishBay,2009,bottS,1.08925831317902
SPReefPoint,2009,bottS,1.35762619972229
SGNorth,2010,bottS,2.02939653396606
SGSouth,2010,bottS,3.18387746810913
SPEast,2010,bottS,0.241827338933945
SPEnglishBay,2010,bottS,1.4859037399292
SPReefPoint,2010,bottS,1.78698933124542
SGNorth,2011,bottS,3.05884957313538
SGSouth,2011,bottS,3.59744572639465
SPEast,2011,bottS,1.67094588279724
SPEnglishBay,2011,bottS,2.02063608169556
SPReefPoint,2011,bottS,2.68325638771057
SGNorth,2012,bottS,1.63039970397949
SGSouth,2012,bottS,2.54693841934204
SPEast,2012,bottS,-0.0415657944977284
SPEnglishBay,2012,bottS,0.561434268951416
SPReefPoint,2012,bottS,1.08319008350372
SGNorth,2013,bottS,2.34885382652283
SGSouth,2013,bottS,3.24076724052429
SPEast,2013,bottS,0.670209527015686
SPEnglishBay,2013,bottS,1.21702194213867
SPReefPoint,2013,bottS,1.87080359458923
SGNorth,2014,bottS,3.70382738113403
SGSouth,2014,bottS,4.14458560943604
SPEast,2014,bottS,2.15842294692993
SPEnglishBay,2014,bottS,2.40855503082275
SPReefPoint,2014,bottS,3.21621417999268
SGNorth,2015,bottS,4.36093902587891
SGSouth,2015,bottS,4.76273202896118
SPEast,2015,bottS,2.09839057922363
SPEnglishBay,2015,bottS,2.17318153381348
SPReefPoint,2015,bottS,3.46699357032776
SGNorth,2016,bottS,4.77374362945557
SGSouth,2016,bottS,4.81613445281982
SPEast,2016,bottS,3.96003150939941
SPEnglishBay,2016,bottS,3.60897302627564
SPReefPoint,2016,bottS,4.31066179275513
SGNorth,2017,bottS,2.9881546497345
SGSouth,2017,bottS,4.10072469711304
SPEast,2017,bottS,1.80443072319031
SPEnglishBay,2017,bottS,2.67154479026794
SPReefPoint,2017,bottS,2.94680213928223
SGNorth,2018,bottS,4.43931150436401
SGSouth,2018,bottS,4.53707218170166
SPEast,2018,bottS,3.92761278152466
SPEnglishBay,2018,bottS,3.71491646766663
SPReefPoint,2018,bottS,4.12635469436646
SGNorth,2019,bottS,4.4768705368042
SGSouth,2019,bottS,4.61965847015381
SPEast,2019,bottS,3.79587650299072
SPEnglishBay,2019,bottS,3.73886561393738
