value,Complex,var,Month,Year
8.00211906433106,SPReefPoint,sstRe,07,1996
9.0402135848999,SGNorth,sstRe,08,1996
9.19125175476074,SGSouth,sstRe,08,1996
8.68349933624268,SPEast,sstRe,08,1996
9.01571655273438,SPEnglishBay,sstRe,08,1996
9.07893371582031,SPReefPoint,sstRe,08,1996
8.7769021987915,SGNorth,sstRe,09,1996
8.92679309844971,SGSouth,sstRe,09,1996
8.19213199615479,SPEast,sstRe,09,1996
8.85832595825195,SPEnglishBay,sstRe,09,1996
8.93548965454102,SPReefPoint,sstRe,09,1996
7.02976369857788,SGNorth,sstRe,10,1996
7.11913013458252,SGSouth,sstRe,10,1996
6.32918882369995,SPEast,sstRe,10,1996
6.97824716567993,SPEnglishBay,sstRe,10,1996
7.07717132568359,SPReefPoint,sstRe,10,1996
6.16230821609497,SGNorth,sstRe,11,1996
6.21206474304199,SGSouth,sstRe,11,1996
5.16608047485352,SPEast,sstRe,11,1996
5.62853479385376,SPEnglishBay,sstRe,11,1996
5.88261890411377,SPReefPoint,sstRe,11,1996
8.77801418304443,SGNorth,sstRe,07,1997
8.47987651824951,SGSouth,sstRe,07,1997
7.78738260269165,SPEast,sstRe,07,1997
8.05068874359131,SPEnglishBay,sstRe,07,1997
8.35137271881104,SPReefPoint,sstRe,07,1997
10.4052400588989,SGNorth,sstRe,08,1997
9.92117977142334,SGSouth,sstRe,08,1997
9.95340919494629,SPEast,sstRe,08,1997
9.80752754211426,SPEnglishBay,sstRe,08,1997
10.0345277786255,SPReefPoint,sstRe,08,1997
9.17920017242432,SGNorth,sstRe,09,1997
9.2835807800293,SGSouth,sstRe,09,1997
8.67263221740723,SPEast,sstRe,09,1997
9.07530307769775,SPEnglishBay,sstRe,09,1997
9.1176290512085,SPReefPoint,sstRe,09,1997
7.54412031173706,SGNorth,sstRe,10,1997
7.65041542053223,SGSouth,sstRe,10,1997
6.77917385101318,SPEast,sstRe,10,1997
7.33217811584473,SPEnglishBay,sstRe,10,1997
7.44481992721558,SPReefPoint,sstRe,10,1997
5.49347496032715,SGNorth,sstRe,11,1997
